Title,Year
Yôjinbô,1961
Witness for the Prosecution,1958
Whiplash,2014
Warrior,2011
WALL·E,2008
Vertigo,1958
V for Vendetta,2006
Up,2009
Unforgiven,1992
Tôkyô monogatari,1972
Trainspotting,1996
Toy Story 3,2010
Toy Story,1995
Top Gun: Maverick,2022
Tonari no Totoro,1990
To Kill a Mockingbird,1963
To Be or Not to Be,1942
"Three Billboards Outside Ebbing, Missouri",2017
There Will Be Blood,2008
The Wolf of Wall Street,2013
The Wizard of Oz,1939
The Usual Suspects,1995
The Truman Show,1998
The Treasure of the Sierra Madre,1948
The Third Man,1949
The Thing,1982
The Terminator,1984
The Sting,1973
The Sound of Music,1965
The Sixth Sense,1999
The Silence of the Lambs,1991
The Shining,1980
The Shawshank Redemption,1994
The Prestige,2006
The Pianist,2003
The Matrix,1999
The Lord of the Rings: The Two Towers,2002
The Lord of the Rings: The Return of the King,2003
The Lord of the Rings: The Fellowship of the Ring,2001
The Lion King,1994
The Kid,1921
The Iron Giant,1999
The Incredibles,2004
The Help,2011
The Green Mile,1999
The Great Escape,1963
The Great Dictator,1941
The Grapes of Wrath,1940
The Grand Budapest Hotel,2014
The Gold Rush,1925
The Godfather Part II,1974
The Godfather,1972
The General,1927
The Father,2021
The Exorcist,1973
The Empire Strikes Back,1980
The Elephant Man,1980
The Departed,2006
The Deer Hunter,1979
The Dark Knight Rises,2012
The Dark Knight,2008
The Bridge on the River Kwai,1957
The Big Lebowski,1998
The Best Years of Our Lives,1947
The Apartment,1960
Terminator 2: Judgment Day,1991
Tengoku to jigoku,1963
Taxi Driver,1976
Taare Zameen Par,2007
Sunset Blvd.,1950
Star Wars: Episode VI - Return of the Jedi,1983
Star Wars,1977
Stand by Me,1986
Spotlight,2015
Spider-Man: No Way Home,2021
Spider-Man: Into the Spider-Verse,2018
Some Like It Hot,1959
Snatch,2001
Smultronstället,1959
Singin&apos; in the Rain,1952
Shutter Island,2010
Shichinin no samurai,1956
Sherlock Jr.,1924
Seppuku,1964
Sen to Chihiro no kamikakushi,2003
Se7en,1995
Schindler&apos;s List,1994
Scarface,1983
Saving Private Ryan,1998
Salinui chueok,2003
Rush,2013
Room,2016
Rocky,1976
Reservoir Dogs,1992
Requiem for a Dream,2000
Relatos salvajes,2014
Rebecca,1940
Rear Window,1954
Ratatouille,2007
Rashômon,1951
Ran,1985
Raiders of the Lost Ark,1981
Raging Bull,1980
Pulp Fiction,1994
Psycho,1960
Prisoners,2013
Platoon,1987
Pirates of the Caribbean: The Curse of the Black Pearl,2003
Persona,1967
Per qualche dollaro in più,1967
Paths of Glory,1957
Pather Panchali,1955
One Flew Over the Cuckoo&apos;s Nest,1975
Once Upon a Time in America,1984
On the Waterfront,1954
Oldeuboi,2003
Nuovo Cinema Paradiso,1990
North by Northwest,1959
No Country for Old Men,2007
Network,1976
Mr. Smith Goes to Washington,1939
Monty Python and the Holy Grail,1975
"Monsters, Inc.",2001
Mononoke-hime,1997
Modern Times,1936
Million Dollar Baby,2005
Metropolis,1927
Memento,2001
Mary and Max.,2010
Mad Max: Fury Road,2015
M - Eine Stadt sucht einen Mörder,1931
Léon,1994
Logan,2017
"Lock, Stock and Two Smoking Barrels",1998
Life of Brian,1979
Les quatre cents coups,1959
Le salaire de la peur,1955
Le fabuleux destin d&apos;Amélie Poulain,2002
Lawrence of Arabia,1962
Ladri di biciclette,1949
La vita è bella,1997
La passion de Jeanne d&apos;Arc,1928
La haine,1996
La battaglia di Algeri,1967
L.A. Confidential,1997
Klaus,2019
Kimi no Na wa.,2017
Kill Bill: Vol. 1,2003
Jurassic Park,1993
Judgment at Nuremberg,1961
Joker,2019
Jodaeiye Nader az Simin,2011
Jaws,1975
Jai Bhim,2021
Jagten,2013
It&apos;s a Wonderful Life,1947
It Happened One Night,1934
Intouchables,2011
Into the Wild,2007
Interstellar,2014
Inside Out,2015
Inglourious Basterds,2009
Indiana Jones and the Last Crusade,1989
Inception,2010
Incendies,2011
In the Name of the Father,1994
"Il buono, il brutto, il cattivo",1967
Ikiru,1956
Idi i smotri,1985
How to Train Your Dragon,2010
Hotel Rwanda,2005
Hotaru no haka,1989
Heat,1995
Hauru no ugoku shiro,2005
Harry Potter and the Deathly Hallows - Part 2,2011
Hamilton,2020
Hacksaw Ridge,2016
Hachi: A Dog&apos;s Tale,2010
Groundhog Day,1993
Green Book,2018
Gran Torino,2009
Goodfellas,1990
Good Will Hunting,1998
Gone with the Wind,1940
Gone Girl,2014
Gladiator,2000
Gisaengchung,2019
Gandhi,1983
Full Metal Jacket,1987
Forrest Gump,1994
Ford v Ferrari,2019
Finding Nemo,2003
Fight Club,1999
Fargo,1996
Everything Everywhere All at Once,2022
Eternal Sunshine of the Spotless Mind,2004
El secreto de sus ojos,2010
El laberinto del fauno,2007
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Double Indemnity,1944
Django Unchained,2012
Die Hard,1988
Dial M for Murder,1954
Det sjunde inseglet,1958
Dersu Uzala,1977
Der Untergang,2005
Dead Poets Society,1989
Das Leben der Anderen,2007
Das Boot,1982
Dangal,2016
Cool Hand Luke,1967
Coco,2017
City Lights,1931
Citizen Kane,1941
Cidade de Deus,2004
Chinatown,1974
Catch Me If You Can,2002
Casino,1995
Casablanca,1943
Capharnaüm,2018
C&apos;era una volta il West,1969
Braveheart,1995
Blade Runner,1982
Ben-Hur,1959
Before Sunset,2004
Before Sunrise,1995
Batman Begins,2005
Barry Lyndon,1975
